name,state,pop_2022,pop_2021,pop_2018,area
New York,NY,8622467,8736047,8443713,300.4555945248
Los Angeles,CA,3881041,3902440,3959657,470.5143449292
Chicago,IL,2721914,2742119,2718555,227.7466815195
Houston,TX,2296253,2293288,2295982,640.6028003232
Phoenix,AZ,1609456,1591119,1610071,518.327624529
Philadelphia,PA,1593208,1596865,1575522,134.3557061847
San Antonio,TX,1445662,1434540,1486521,498.9191887251
San Diego,CA,1383987,1385398,1401932,326.085199011
Dallas,TX,1300642,1300239,1318806,339.6744954603
San Jose,CA,1001176,1013337,1026658,177.9376309425
Austin,TX,958202,944658,935755,326.3626991196
Jacksonville,FL,950203,937690,878907,747.2565288045
Fort Worth,TX,924663,908469,855786,350.2675559097
Columbus,OH,902449,898143,867628,220.7240580402
Indianapolis city (balance),IN,882006,880104,857637,361.0145142747
Charlotte,NC,875045,864871,841611,310.7571031422
San Francisco,CA,851036,865933,870044,46.6994394009
Seattle,WA,734603,726054,708823,83.9999449575
Denver,CO,710800,706799,693417,153.0732619845
Nashville-Davidson metropolitan government (balance),TN,684103,682646,660062,475.5633560964
Oklahoma City,OK,681088,673183,637284,606.4752128292
El Paso,TX,677181,676395,680354,258.7868585874
Washington,,670587,683154,684498,61.1258786424
Boston,MA,665945,672814,679413,48.3399763704
Portland,OR,646101,647176,639387,133.4874502962
Las Vegas,NV,644835,634786,626637,141.8614272504
Detroit,MI,636787,645658,677155,138.73399640099998
Memphis,TN,630027,634139,653248,296.2007026407
Louisville/Jefferson County metro government (balance),KY,629176,630260,617032,263.0636114535
Baltimore,MD,584548,592211,614700,80.9456055408
Milwaukee,WI,573299,578198,596886,96.1721648316
Albuquerque,NM,562551,562336,559202,187.2652988349
Fresno,CA,541528,538678,522277,115.8174772326
Tucson,AZ,541033,538167,539216,242.1861056901
Sacramento,CA,523600,518605,495011,98.6453901576
Kansas City,MO,505958,502597,481417,314.6785640856
Mesa,AZ,503390,497752,491194,141.3827817831
Atlanta,GA,494838,492204,479655,135.25250683229999
Omaha,NE,489201,488059,465112,142.9791994917
Colorado Springs,CO,479612,475282,457502,201.8670718779
Raleigh,NC,465517,462219,457159,149.4466551864
Long Beach,CA,462293,466565,468883,50.6719126485
Virginia Beach,VA,457900,457658,450135,244.7174263248
Miami,FL,443665,440807,451214,35.9954860122
Oakland,CA,437825,437548,421042,55.9631506005
Minneapolis,MN,426877,425091,416021,53.9993606724
Tulsa,OK,411938,410652,402223,197.76352038299999
Bakersfield,CA,404321,398756,375699,150.2719678746
Wichita,KS,395951,394574,389563,162.9404521173
Arlington,TX,393469,392304,392462,95.8412431548
Tampa,FL,388768,380476,376345,113.6378504547
Aurora,CO,387349,383496,363550,163.0084748292
New Orleans,LA,380408,383974,389648,169.4985455592
Cleveland,OH,370365,374861,387398,77.7350601027
Urban Honolulu,HI,348547,351554,350003,60.6215907297
Anaheim,CA,347111,348204,349668,50.282631570599996
San Juan,PR,322616,325343,331165,39.811991462099996
Lexington-Fayette,KY,321276,321354,318734,283.8536408565
Stockton,CA,320030,317818,306283,63.0941720409
Henderson,NV,318063,311250,291346,120.52211885999999
Corpus Christi,TX,317804,318168,324692,162.2815199577
Riverside,CA,316076,314858,323935,81.1483219404
Santa Ana,CA,311379,313818,333499,27.3762486855
Cincinnati,OH,308870,308664,300357,77.9140078002
St. Paul,MN,308806,309751,302760,51.972291657
Orlando,FL,307738,302968,275690,111.2355192663
Newark,NJ,307355,306247,280463,24.1433681346
Irvine,CA,304527,297868,265502,65.6128065879
Pittsburgh,PA,303843,303207,303587,55.377361611
St. Louis,MO,298018,302787,311273,61.7193116397
Greensboro,NC,297202,295483,288719,133.8602746338
Anchorage,AK,290674,292545,296112,1706.994852849
Lincoln,NE,290531,289136,280849,99.9689452047
Jersey City,NJ,287899,287146,261746,14.7479555223
Plano,TX,284948,282181,284579,71.6983939386
Durham,NC,284094,279106,264310,116.7531002352
Buffalo,NY,276688,276011,257518,40.3784329806
Chula Vista,CA,276103,274818,266468,49.637297080799996
Chandler,AZ,275618,272439,248631,65.6388247086
Toledo,OH,269962,271454,278193,80.4873731805
Madison,WI,268516,265447,252086,83.0876640165
Gilbert,AZ,267267,262249,237484,68.6626251597
Reno,NV,265196,259913,242633,108.9919825137
Fort Wayne,IN,264514,262676,264052,110.6270627319
North Las Vegas,NV,264022,259638,236986,105.3181664964
St. Petersburg,FL,259343,258245,259041,61.803561362399996
Lubbock,TX,258190,255537,250415,141.960109005
Laredo,TX,255293,254697,257575,106.8234371919
Irving,TX,254962,254184,238637,66.9790241406
Winston-Salem,NC,249571,247917,242125,133.5834671886
Chesapeake,VA,249377,247172,237820,338.4545082633
Glendale,AZ,248083,245685,245514,67.1260154994
Garland,TX,244026,245075,237982,56.8568686257
Scottsdale,AZ,240537,238685,246026,184.0021468857
Norfolk,VA,236973,238556,245592,53.2746308952
Arlington,VA,235845,235764,231803,25.9972682112
Boise City,ID,234192,231537,224300,84.5526934395
Fremont,CA,228795,231502,233083,78.10258946489999
Spokane,WA,227922,225709,214804,68.7595937886
Richmond,VA,227171,225676,223787,59.9246763687
Santa Clarita,CA,225850,227182,209478,73.6133800545
Baton Rouge,LA,225500,225539,225362,86.9426979993
Enterprise,NV,225461,219566,164314,65.9988780165
Hialeah,FL,222996,224362,237285,21.5813355615
San Bernardino,CA,221041,220821,215182,62.100138672
Spring Valley,NV,220114,217441,199722,35.5050718308
Tacoma,WA,219234,217332,210103,49.7141761545
Modesto,CA,218308,217728,211336,43.357489461
Huntsville,AL,215025,210081,193663,223.63178679269998
Des Moines,IA,213164,213545,215932,88.1619747723
Rochester,NY,210992,211100,207778,35.7612542001
Port St. Lucie,FL,210520,202177,183762,119.2153529853
Yonkers,NY,209780,209730,199745,18.005557283999998
Moreno Valley,CA,209578,208371,205034,51.3094865283
Fontana,CA,209279,208087,208943,43.2775856799
