state,total_pop,asian,black,indian,latino,mixed,other,pacific,white,median_inc,poverty,state_name,geoid,statefp
AL,5028092.0,69099.0,1318388.0,14864.0,232407.0,129791.0,14724.0,1557.0,3247262.0,59609.0,768897.0,Alabama,0400000US01,1
AK,734821.0,46507.0,22400.0,102445.0,54890.0,65029.0,3808.0,10940.0,428802.0,86370.0,75227.0,Alaska,0400000US02,2
AZ,7172282.0,233864.0,307726.0,249047.0,2297513.0,247176.0,23071.0,12764.0,3801121.0,72581.0,916876.0,Arizona,0400000US04,4
AR,3018669.0,46593.0,454728.0,11851.0,243321.0,140175.0,7194.0,11023.0,2103784.0,56335.0,475729.0,Arkansas,0400000US05,5
CA,39356104.0,5861649.0,2102510.0,114271.0,15617930.0,1499338.0,176652.0,135460.0,13848294.0,91905.0,4685272.0,California,0400000US06,6
CO,5770790.0,181338.0,221211.0,24781.0,1273762.0,218981.0,21903.0,7230.0,3821584.0,87598.0,540105.0,Colorado,0400000US08,8
CT,3611317.0,169549.0,355970.0,3565.0,627408.0,123258.0,22228.0,695.0,2308644.0,90213.0,355692.0,Connecticut,0400000US09,9
DE,993635.0,40394.0,213516.0,1799.0,98696.0,37140.0,4305.0,253.0,597532.0,79325.0,107790.0,Delaware,0400000US10,10
DC,670587.0,26512.0,291880.0,829.0,77168.0,26392.0,3720.0,356.0,243730.0,101722.0,98039.0,District of Columbia,0400000US11,11
FL,21634529.0,596828.0,3232871.0,26405.0,5738283.0,669598.0,117096.0,10933.0,11242515.0,67917.0,2725633.0,Florida,0400000US12,12
GA,10722325.0,461195.0,3334095.0,11377.0,1078457.0,336283.0,50126.0,5637.0,5445155.0,71355.0,1415573.0,Georgia,0400000US13,13
HI,1450589.0,529361.0,26664.0,2056.0,159023.0,283610.0,3861.0,140790.0,305224.0,94814.0,135941.0,Hawaii,0400000US15,15
ID,1854109.0,24189.0,11919.0,16217.0,242236.0,65046.0,7677.0,2357.0,1484468.0,70214.0,198788.0,Idaho,0400000US16,16
IL,12757634.0,731197.0,1744151.0,10119.0,2275704.0,351702.0,40167.0,2979.0,7601615.0,78433.0,1467893.0,Illinois,0400000US17,17
IN,6784403.0,167597.0,631919.0,5085.0,510984.0,204190.0,23790.0,2256.0,5238582.0,67173.0,810702.0,Indiana,0400000US18,18
IA,3188836.0,78241.0,117940.0,6472.0,208637.0,93578.0,6683.0,4355.0,2672930.0,70571.0,343141.0,Iowa,0400000US19,19
KS,2935922.0,87010.0,157768.0,14025.0,369970.0,116607.0,9033.0,2380.0,2179129.0,69747.0,329870.0,Kansas,0400000US20,20
KY,4502935.0,68569.0,355368.0,3902.0,180481.0,132047.0,10744.0,3167.0,3748657.0,60183.0,704758.0,Kentucky,0400000US21,21
LA,4640546.0,79558.0,1456107.0,19612.0,255584.0,139617.0,18696.0,2206.0,2669166.0,57852.0,842038.0,Louisiana,0400000US22,22
ME,1366949.0,14944.0,21093.0,6072.0,25898.0,44927.0,4143.0,234.0,1249638.0,68251.0,145491.0,Maine,0400000US23,23
