city,state,population
New York,NY,8622467
Los Angeles,CA,3881041
Chicago,IL,2721914
Houston,TX,2296253
Phoenix,AZ,1609456
Philadelphia,PA,1593208
San Antonio,TX,1445662
San Diego,CA,1383987
Dallas,TX,1300642
San Jose,CA,1001176
Austin,TX,958202
Jacksonville,FL,950203
Fort Worth,TX,924663
Columbus,OH,902449
Indianapolis (balance),IN,882006
Charlotte,NC,875045
San Francisco,CA,851036
Seattle,WA,734603
Denver,CO,710800
Nashville-Davidson metropolitan government (balance),TN,684103
Oklahoma City,OK,681088
El Paso,TX,677181
Washington,,670587
Boston,MA,665945
Portland,OR,646101
Las Vegas,NV,644835
Detroit,MI,636787
Memphis,TN,630027
Louisville/Jefferson County metro government (balance),KY,629176
Baltimore,MD,584548
Milwaukee,WI,573299
Albuquerque,NM,562551
Fresno,CA,541528
Tucson,AZ,541033
Sacramento,CA,523600
Kansas City,MO,505958
Mesa,AZ,503390
Atlanta,GA,494838
Omaha,NE,489201
Colorado Springs,CO,479612
Raleigh,NC,465517
Long Beach,CA,462293
Virginia Beach,VA,457900
Miami,FL,443665
Oakland,CA,437825
Minneapolis,MN,426877
Tulsa,OK,411938
Bakersfield,CA,404321
Wichita,KS,395951
Arlington,TX,393469
Tampa,FL,388768
Aurora,CO,387349
New Orleans,LA,380408
Cleveland,OH,370365
Urban Honolulu CDP,HI,348547
Anaheim,CA,347111
San Juan zona urbana,PR,322616
Lexington-Fayette urban county,KY,321276
Stockton,CA,320030
Henderson,NV,318063
Corpus Christi,TX,317804
Riverside,CA,316076
Santa Ana,CA,311379
Cincinnati,OH,308870
St. Paul,MN,308806
Orlando,FL,307738
Newark,NJ,307355
Irvine,CA,304527
Pittsburgh,PA,303843
St. Louis,MO,298018
Greensboro,NC,297202
Anchorage municipality,AK,290674
Lincoln,NE,290531
Jersey City,NJ,287899
Plano,TX,284948
Durham,NC,284094
Buffalo,NY,276688
Chula Vista,CA,276103
Chandler,AZ,275618
Toledo,OH,269962
Madison,WI,268516
Gilbert town,AZ,267267
Reno,NV,265196
Fort Wayne,IN,264514
North Las Vegas,NV,264022
St. Petersburg,FL,259343
Lubbock,TX,258190
Laredo,TX,255293
Irving,TX,254962
Winston-Salem,NC,249571
Chesapeake,VA,249377
Glendale,AZ,248083
Garland,TX,244026
Scottsdale,AZ,240537
Norfolk,VA,236973
Arlington CDP,VA,235845
Boise City,ID,234192
Fremont,CA,228795
Spokane,WA,227922
Richmond,VA,227171
